,PIB_nom,PIB_real,PIB_pot,OG,Ingresos_totales,Egresos_totales,Intereses,Beta,CC_Ingresos,G_primario,T_estructural,G_primario_estr,BEP,BE,FI
71,27118.6337,7492.402685,,,12590.93,14555.69,479.85,0.8742368844206614,,14075.84,,14075.84,,,
72,28370.78058,6837.877849,,,12933.56,10078.0,212.07999999999998,0.8742368844206614,,9865.92,,9865.92,,,
73,31481.57569,7955.173496,,,15485.12,12984.37,255.0,0.8742368844206614,,12729.37,,12729.37,,,
74,32758.83643,7678.219305,,,15754.68,13556.74,381.01,0.8742368844206614,,13175.73,,13175.73,,,
75,28082.57145,7806.555656,,,14221.11,17859.11,246.6,0.8742368844206614,,17612.510000000002,,17612.510000000002,,,
76,29103.64483,7039.509994,,,13295.65,10769.25,293.54,0.8742368844206614,,10475.71,,10475.71,,,
77,30558.88474,8130.166632,,,15041.22,14035.25,457.20000000000005,0.8742368844206614,,13578.05,,13578.05,,,
78,30249.8093,7956.761816,,,14249.78,14247.04,696.76,0.8742368844206614,,13550.28,,13550.28,,,
79,31814.40631,8167.81432,,,14106.67,17532.56,531.79,0.8742368844206614,,17000.77,,17000.77,,,
80,30795.01652,7266.227379,,,12909.59,13279.3,554.16,0.8742368844206614,,12725.14,,12725.14,,,
81,34356.01655,8437.640374,,,14946.84,12680.54,489.83,0.8742368844206614,,12190.710000000001,,12190.710000000001,,,
82,34896.42747,8251.994657,,,16332.7,14608.86,559.9300000000001,0.8742368844206614,,14048.93,,14048.93,,,
83,37828.1075,8629.817401,,,17383.24,18687.85,617.17,0.8742368844206614,,18070.68,,18070.68,,,
84,38214.28275,7715.274627,,,16182.41,13040.99,347.31,0.8742368844206614,,12693.68,,12693.68,,,
85,41003.32851,8796.980598,,,17651.43,16386.63,572.17,0.8742368844206614,,15814.460000000001,,15814.460000000001,,,
86,42897.17172,8683.047323,,,20221.33,18045.68,566.01,0.8742368844206614,,17479.670000000002,,17479.670000000002,,,
87,44116.77993,9086.166118,,,21559.4,26759.24,505.90999999999997,0.8742368844206614,,26253.33,,26253.33,,,
88,42785.00325,8101.796699,,,19152.38,15242.29,495.47999999999996,0.8742368844206614,,14746.810000000001,,14746.810000000001,,,
89,45997.64019,9183.013212,,,20812.6,17876.93,462.96000000000004,0.8742368844206614,,17413.97,,17413.97,,,
90,47047.49651,9081.844971,,,25275.57,19453.58,415.8,0.8742368844206614,,19037.780000000002,,19037.780000000002,,,
91,51323.73765,9670.805147,,,22749.44,32129.23,513.25,0.8742368844206614,,31615.98,,31615.98,,,
92,49829.49641,8656.908835,,,22934.55,15307.83,320.32,0.8742368844206614,,14987.51,,14987.51,,,
93,52449.19723,9833.48511,,,25588.78,26521.06,298.51,0.8742368844206614,,26222.550000000003,,26222.550000000003,,,
94,53503.66933,9744.16222,,,27839.53,25144.03,340.3,0.8742368844206614,,24803.73,,24803.73,,,
95,56073.6687,10252.0137,,,27375.89,35389.74,514.38,0.8742368844206614,,34875.36,,34875.36,,,
96,53960.56965,9168.558361,,,23131.14,22589.25,312.89,0.8742368844206614,,22276.36,,22276.36,,,
97,56635.18867,10305.08475,,,30700.71,29741.4,344.74,0.8742368844206614,,29396.66,,29396.66,,,
98,57868.42594,10331.31348,,,34509.83,30644.06,510.13,0.8742368844206614,,30133.93,,30133.93,,,
99,59539.47492,10783.19924,,,28935.84,41971.99,721.06,0.8742368844206614,,41250.93,,41250.93,,,
100,55975.74919,9609.05051,,,25077.95,22308.8,589.1700000000001,0.8742368844206614,,21719.629999999997,,21719.629999999997,,,
101,56814.28022,10846.33845,,,29245.14,29601.24,587.6500000000001,0.8742368844206614,,29013.59,,29013.59,,,
102,56306.19294,10737.40217,,,27755.15,27230.79,559.36,0.8742368844206614,,26671.43,,26671.43,,,
103,58935.14753,11366.80742,,,26963.15,45633.25,452.24,0.8742368844206614,,45181.01,,45181.01,,,
104,55360.45919,10123.44138,,,23345.63,19482.36,386.09000000000003,0.8742368844206614,,19096.27,,19096.27,,,
105,56563.70316,11197.08248,,,26873.36,32207.36,313.4,0.8742368844206614,,31893.96,,31893.96,,,
106,59641.18919,11268.03297,,,25226.21,29372.1,523.03,0.8742368844206614,,28849.07,,28849.07,,,
107,62967.83051,11785.74931,,,25327.09,36593.07,453.68,0.8742368844206614,,36139.39,,36139.39,,,
108,61026.4182,10461.78112,,,22859.05,24290.71,427.77,0.8742368844206614,,23862.94,,23862.94,,,
109,61794.11279,11621.18713,,,28270.91,29755.23,463.7,0.8742368844206614,,29291.53,,29291.53,,,
110,66836.4448,11750.29904,,,25906.4,31426.2,764.49,0.8742368844206614,,30661.71,,30661.71,,,
111,69527.74157,12402.63254,,,27247.46,39089.72,442.59000000000003,0.8742368844206614,,38647.130000000005,,38647.130000000005,,,
112,67512.25637,10977.35887,,,25130.81,24963.22,627.8199999999999,0.8742368844206614,,24335.4,,24335.4,,,
113,67810.20507,12184.62995,,,28294.6,32525.22,514.7,0.8742368844206614,,32010.52,,32010.52,,,
114,70256.35231,12218.20981,,,25350.37,30517.67,806.62,0.8742368844206614,,29711.05,,29711.05,,,
115,72808.83346,12808.53153,,,28915.72,42355.6,599.31,0.8742368844206614,,41756.29,,41756.29,,,
116,68920.08876,11316.21782,,,25618.37,24158.6,766.67,0.8742368844206614,,23391.93,,23391.93,,,
